,Experiment,Model,Metric/Class,Hyperparameters,Performance
67,specific,DecisionTreeClassifier,recall_GREEN,"{""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 1, ""min_samples_split"": 5}",0.9002663622526637
68,specific,DecisionTreeClassifier,recall_RED,"{""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 1, ""min_samples_split"": 5}",0.7050000000000001
69,specific,DecisionTreeClassifier,recall_YELLOW,"{""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 1, ""min_samples_split"": 5}",0.6572463768115943
70,specific,DecisionTreeClassifier,f1-score_GREEN,"{""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 1, ""min_samples_split"": 5}",0.9176972073595652
71,specific,DecisionTreeClassifier,f1-score_RED,"{""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 1, ""min_samples_split"": 5}",0.7353149919047283
72,specific,DecisionTreeClassifier,f1-score_YELLOW,"{""criterion"": ""gini"", ""max_depth"": 5, ""min_samples_leaf"": 1, ""min_samples_split"": 5}",0.5973316466371494
73,specific,RandomForestClassifier,precision_GREEN,"{""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}",0.8965395152028538
74,specific,RandomForestClassifier,precision_RED,"{""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}",0.8234805194805196
75,specific,RandomForestClassifier,precision_YELLOW,"{""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}",0.6684173669467787
76,specific,RandomForestClassifier,recall_GREEN,"{""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}",0.950152207001522
77,specific,RandomForestClassifier,recall_RED,"{""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}",0.8106666666666665
78,specific,RandomForestClassifier,recall_YELLOW,"{""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}",0.5387681159420289
79,specific,RandomForestClassifier,f1-score_GREEN,"{""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}",0.9220904302936692
80,specific,RandomForestClassifier,f1-score_RED,"{""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}",0.8149652217370289
81,specific,RandomForestClassifier,f1-score_YELLOW,"{""criterion"": ""entropy"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 100}",0.5935883222468588
82,specific,ExtraTreesClassifier,precision_GREEN,"{""bootstrap"": false, ""criterion"": ""gini"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}",0.8710007869709621
83,specific,ExtraTreesClassifier,precision_RED,"{""bootstrap"": false, ""criterion"": ""gini"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}",0.8044030044030043
84,specific,ExtraTreesClassifier,precision_YELLOW,"{""bootstrap"": false, ""criterion"": ""gini"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}",0.6268650793650794
85,specific,ExtraTreesClassifier,recall_GREEN,"{""bootstrap"": false, ""criterion"": ""gini"", ""max_depth"": 20, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 200}",0.9418569254185692
