,Experiment,Model,Metric/Class,Hyperparameters,Performance
238,specific_ADASYN,SVC,precision_RED,"{""C"": 1, ""degree"": 5, ""gamma"": ""auto"", ""kernel"": ""poly""}",0.9036626984126984
239,specific_ADASYN,SVC,precision_YELLOW,"{""C"": 1, ""degree"": 5, ""gamma"": ""auto"", ""kernel"": ""poly""}",0.5839204172399066
240,specific_ADASYN,SVC,recall_GREEN,"{""C"": 1, ""degree"": 5, ""gamma"": ""auto"", ""kernel"": ""poly""}",0.6483483483483484
241,specific_ADASYN,SVC,recall_RED,"{""C"": 1, ""degree"": 5, ""gamma"": ""auto"", ""kernel"": ""poly""}",0.6731981981981983
242,specific_ADASYN,SVC,recall_YELLOW,"{""C"": 1, ""degree"": 5, ""gamma"": ""auto"", ""kernel"": ""poly""}",0.9253003003003004
243,specific_ADASYN,SVC,f1-score_GREEN,"{""C"": 1, ""degree"": 5, ""gamma"": ""auto"", ""kernel"": ""poly""}",0.7773806240225539
244,specific_ADASYN,SVC,f1-score_RED,"{""C"": 1, ""degree"": 5, ""gamma"": ""auto"", ""kernel"": ""poly""}",0.7696712041626419
245,specific_ADASYN,SVC,f1-score_YELLOW,"{""C"": 1, ""degree"": 5, ""gamma"": ""auto"", ""kernel"": ""poly""}",0.7155776400785195
246,specific_ADASYN,DecisionTreeClassifier,precision_GREEN,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.9193400664273529
247,specific_ADASYN,DecisionTreeClassifier,precision_RED,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.9191464062787592
248,specific_ADASYN,DecisionTreeClassifier,precision_YELLOW,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.8050716481155028
249,specific_ADASYN,DecisionTreeClassifier,recall_GREEN,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.8641141141141141
250,specific_ADASYN,DecisionTreeClassifier,recall_RED,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.8947447447447446
251,specific_ADASYN,DecisionTreeClassifier,recall_YELLOW,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.8697447447447446
252,specific_ADASYN,DecisionTreeClassifier,f1-score_GREEN,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.889819125293255
253,specific_ADASYN,DecisionTreeClassifier,f1-score_RED,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.9059810474411083
254,specific_ADASYN,DecisionTreeClassifier,f1-score_YELLOW,"{""criterion"": ""entropy"", ""max_depth"": 10, ""min_samples_leaf"": 1, ""min_samples_split"": 2}",0.8349510381474164
